
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000679                       # Number of seconds simulated (Second)
simTicks                                    678946000                       # Number of ticks simulated (Tick)
finalTick                                   678946000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.23                       # Real time elapsed on the host (Second)
hostTickRate                                552355058                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     309124                       # Number of bytes of host memory used (Byte)
simInsts                                      1035326                       # Number of instructions simulated (Count)
simOps                                        1035396                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   842257                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     842312                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1357893                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.311561                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.762450                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1405165                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      264                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1131006                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    322                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               370032                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            334464                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  78                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1215998                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.930105                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.660025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    809997     66.61%     66.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    124282     10.22%     76.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     91055      7.49%     84.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     69830      5.74%     90.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     46024      3.78%     93.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     37252      3.06%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     24965      2.05%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5766      0.47%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6827      0.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1215998                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9260     70.82%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     70.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     70.82% # attempts to use FU when none available (Count)
